iter	Passed	Remaining
470	697	782
471	698	780
472	699	778
473	700	777
474	701	775
475	702	773
476	703	771
477	704	769
478	705	767
479	706	765
480	707	763
481	709	762
482	710	760
483	711	758
484	712	756
485	713	754
486	714	752
487	715	751
488	716	749
489	718	747
490	719	745
491	720	743
492	721	741
493	722	739
494	723	738
495	724	736
496	725	734
497	726	732
498	727	730
499	729	729
500	730	727
501	731	725
502	732	723
503	733	721
504	734	719
505	735	717
506	736	716
507	737	714
508	739	713
509	740	711
510	741	709
511	742	708
512	744	706
513	745	704
514	746	702
515	747	701
516	748	699
517	749	697
518	750	695
519	751	693
520	752	691
521	753	690
522	754	688
523	756	686
524	757	684
525	758	683
526	759	681
527	760	679
528	761	677
529	762	676
530	763	674
531	764	672
532	765	670
533	766	668
534	767	667
535	768	665
536	769	663
537	770	661
538	771	659
539	772	658
540	773	656
541	774	654
542	775	652
543	776	650
544	777	649
545	778	647
546	779	645
547	780	643
548	781	642
549	782	640
550	783	638
551	784	636
552	785	635
553	786	633
554	788	631
555	789	630
556	790	628
557	791	626
558	792	625
559	793	623
560	794	621
561	795	619
562	796	617
563	797	616
564	798	614
565	799	612
566	799	610
567	800	609
568	801	607
569	803	605
570	804	604
571	805	602
572	806	600
573	807	599
574	808	597
575	809	595
576	810	593
577	811	592
578	812	590
579	813	588
580	814	587
581	815	585
582	816	583
583	817	582
584	818	580
585	819	578
586	820	577
587	821	575
588	822	573
589	823	572
590	824	570
591	825	568
592	826	567
593	827	565
594	828	564
595	829	562
596	830	560
597	831	559
598	833	557
599	834	556
600	835	554
601	836	552
602	837	551
603	838	549
604	839	548
605	840	546
606	841	544
607	842	543
608	843	541
609	844	539
610	845	538
611	846	536
612	847	535
613	848	533
614	849	531
615	850	530
616	851	528
617	852	527
618	853	525
619	855	524
620	856	522
621	857	520
622	858	519
623	859	517
624	860	516
625	861	514
626	862	512
627	863	511
628	864	509
629	865	508
630	866	506
631	867	505
632	868	503
633	869	502
634	870	500
635	871	498
636	872	497
637	873	495
638	874	494
639	875	492
640	877	491
641	878	489
642	879	488
643	880	486
644	882	485
645	883	483
646	884	482
647	884	480
648	885	479
649	886	477
650	887	475
651	888	474
652	889	472
653	891	471
654	892	470
655	893	468
656	894	467
657	895	465
658	896	463
659	897	462
660	898	460
661	899	459
662	900	457
663	901	456
664	902	454
665	903	453
666	904	451
667	905	449
668	906	448
669	907	446
670	908	445
671	909	443
672	910	442
673	911	440
674	912	439
675	913	437
676	914	436
677	915	434
678	916	433
679	917	431
680	918	430
681	919	428
682	920	427
683	921	425
684	922	424
685	923	422
686	924	421
687	925	419
688	926	418
689	927	416
690	928	415
691	929	413
692	930	412
693	931	410
694	932	409
695	933	407
696	934	406
697	935	404
698	937	403
699	938	402
700	939	400
701	940	399
702	941	397
703	942	396
704	943	394
705	943	393
706	944	391
707	945	390
708	947	388
709	948	387
710	949	385
711	950	384
712	951	382
713	952	381
714	953	380
715	954	378
716	955	377
717	956	375
718	957	374
719	959	372
720	960	371
721	961	370
722	962	368
723	963	367
724	964	365
725	965	364
726	966	362
727	967	361
728	968	360
729	969	358
730	970	357
731	972	355
732	973	354
733	974	353
734	975	351
735	976	350
736	977	348
737	978	347
738	979	345
739	980	344
740	981	343
741	982	341
742	983	340
743	984	338
744	985	337
745	986	336
746	988	334
747	989	333
748	990	331
749	991	330
750	992	329
751	993	327
752	994	326
753	995	324
754	996	323
755	997	321
756	998	320
757	999	319
758	1000	317
759	1001	316
760	1002	314
761	1004	313
762	1005	312
763	1006	310
764	1007	309
765	1008	308
766	1009	306
767	1010	305
768	1011	303
769	1012	302
770	1013	301
771	1014	299
772	1015	298
773	1016	296
774	1017	295
775	1018	294
776	1019	292
777	1020	291
778	1021	289
779	1022	288
780	1023	287
781	1024	285
782	1026	284
783	1027	282
784	1028	281
785	1029	280
786	1030	278
787	1031	277
788	1032	276
789	1033	274
790	1034	273
791	1036	272
792	1037	270
793	1038	269
794	1039	267
795	1040	266
796	1041	265
797	1041	263
798	1042	262
799	1044	261
800	1045	259
801	1046	258
802	1047	257
803	1048	255
804	1049	254
805	1050	252
806	1051	251
807	1052	250
808	1053	248
809	1054	247
810	1055	246
811	1056	244
812	1057	243
813	1058	241
814	1060	240
815	1061	239
816	1062	237
817	1063	236
818	1064	235
819	1065	233
820	1066	232
821	1067	231
822	1068	229
823	1069	228
824	1070	227
825	1071	225
826	1072	224
827	1073	223
828	1074	221
829	1075	220
830	1076	218
